,Name,GradeDistribution,Color,Black,White,Yellow
0,A5,"{'6B+': 5, '6C': 4, '6C+': 7, '7A': 9, '7A+': 7, '7B': 3, '7B+': 2, '7C': 1, '7C+': 3, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
1,A9,"{'6B+': 2, '6C': 4, '6C+': 1, '7A': 2, '7A+': 7, '7B': 6, '7B+': 1, '7C': 2, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
2,A10,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 0, '7B+': 0, '7C': 0, '7C+': 2, '8A': 0, '8A+': 0, '8B': 0}",yellow,0,0,1
3,A11,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 0, '7B+': 1, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",yellow,0,0,1
4,A12,"{'6B+': 0, '6C': 0, '6C+': 1, '7A': 1, '7A+': 3, '7B': 0, '7B+': 0, '7C': 0, '7C+': 1, '8A': 1, '8A+': 0, '8B': 0}",white,0,1,0
5,A13,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 1, '7B': 1, '7B+': 1, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",yellow,0,0,1
6,A14,"{'6B+': 3, '6C': 3, '6C+': 6, '7A': 4, '7A+': 4, '7B': 1, '7B+': 0, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
7,A15,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 0, '7B+': 0, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
8,A16,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 0, '7B+': 0, '7C': 0, '7C+': 1, '8A': 1, '8A+': 1, '8B': 0}",yellow,0,0,1
9,A18,"{'6B+': 3, '6C': 4, '6C+': 2, '7A': 8, '7A+': 7, '7B': 5, '7B+': 1, '7C': 5, '7C+': 2, '8A': 3, '8A+': 1, '8B': 0}",black,1,0,0
10,B3,"{'6B+': 4, '6C': 1, '6C+': 5, '7A': 2, '7A+': 3, '7B': 9, '7B+': 0, '7C': 1, '7C+': 2, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
11,B4,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 5, '7A+': 7, '7B': 3, '7B+': 0, '7C': 5, '7C+': 5, '8A': 2, '8A+': 1, '8B': 0}",yellow,0,0,1
12,B6,"{'6B+': 0, '6C': 2, '6C+': 0, '7A': 1, '7A+': 4, '7B': 1, '7B+': 1, '7C': 3, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
13,B7,"{'6B+': 2, '6C': 1, '6C+': 0, '7A': 0, '7A+': 1, '7B': 0, '7B+': 0, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",yellow,0,0,1
14,B8,"{'6B+': 3, '6C': 3, '6C+': 4, '7A': 5, '7A+': 4, '7B': 2, '7B+': 0, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
15,B9,"{'6B+': 3, '6C': 0, '6C+': 3, '7A': 2, '7A+': 0, '7B': 5, '7B+': 0, '7C': 1, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
16,B10,"{'6B+': 2, '6C': 5, '6C+': 1, '7A': 2, '7A+': 1, '7B': 0, '7B+': 0, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
17,B11,"{'6B+': 9, '6C': 1, '6C+': 5, '7A': 2, '7A+': 0, '7B': 2, '7B+': 0, '7C': 1, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
18,B12,"{'6B+': 0, '6C': 0, '6C+': 1, '7A': 1, '7A+': 4, '7B': 1, '7B+': 1, '7C': 1, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
19,B13,"{'6B+': 1, '6C': 1, '6C+': 0, '7A': 1, '7A+': 1, '7B': 0, '7B+': 1, '7C': 1, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
20,B15,"{'6B+': 2, '6C': 1, '6C+': 1, '7A': 1, '7A+': 3, '7B': 2, '7B+': 0, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
21,B16,"{'6B+': 2, '6C': 4, '6C+': 4, '7A': 2, '7A+': 3, '7B': 0, '7B+': 1, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
22,B18,"{'6B+': 5, '6C': 4, '6C+': 1, '7A': 1, '7A+': 2, '7B': 3, '7B+': 0, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
23,C5,"{'6B+': 2, '6C': 6, '6C+': 3, '7A': 5, '7A+': 9, '7B': 4, '7B+': 2, '7C': 6, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
24,C6,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 0, '7B+': 0, '7C': 1, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
25,C7,"{'6B+': 5, '6C': 1, '6C+': 2, '7A': 4, '7A+': 4, '7B': 4, '7B+': 2, '7C': 1, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",yellow,0,0,1
26,C8,"{'6B+': 0, '6C': 2, '6C+': 0, '7A': 2, '7A+': 4, '7B': 1, '7B+': 1, '7C': 1, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
27,C9,"{'6B+': 0, '6C': 0, '6C+': 1, '7A': 0, '7A+': 5, '7B': 1, '7B+': 2, '7C': 2, '7C+': 2, '8A': 0, '8A+': 0, '8B': 0}",yellow,0,0,1
28,C10,"{'6B+': 7, '6C': 6, '6C+': 5, '7A': 4, '7A+': 9, '7B': 6, '7B+': 0, '7C': 1, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
29,C11,"{'6B+': 0, '6C': 0, '6C+': 1, '7A': 1, '7A+': 0, '7B': 2, '7B+': 1, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
30,C12,"{'6B+': 1, '6C': 1, '6C+': 0, '7A': 4, '7A+': 3, '7B': 1, '7B+': 1, '7C': 0, '7C+': 0, '8A': 2, '8A+': 0, '8B': 0}",yellow,0,0,1
31,C13,"{'6B+': 10, '6C': 8, '6C+': 3, '7A': 3, '7A+': 8, '7B': 3, '7B+': 2, '7C': 2, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
32,C14,"{'6B+': 2, '6C': 1, '6C+': 1, '7A': 0, '7A+': 3, '7B': 2, '7B+': 1, '7C': 2, '7C+': 2, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
33,C15,"{'6B+': 2, '6C': 0, '6C+': 1, '7A': 2, '7A+': 2, '7B': 4, '7B+': 1, '7C': 4, '7C+': 3, '8A': 0, '8A+': 0, '8B': 0}",yellow,0,0,1
34,C16,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 0, '7B+': 0, '7C': 1, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
35,C18,"{'6B+': 1, '6C': 0, '6C+': 1, '7A': 4, '7A+': 5, '7B': 9, '7B+': 3, '7C': 3, '7C+': 3, '8A': 2, '8A+': 1, '8B': 0}",yellow,0,0,1
36,D3,"{'6B+': 0, '6C': 0, '6C+': 1, '7A': 6, '7A+': 6, '7B': 2, '7B+': 1, '7C': 4, '7C+': 3, '8A': 2, '8A+': 1, '8B': 0}",yellow,0,0,1
37,D5,"{'6B+': 1, '6C': 1, '6C+': 1, '7A': 1, '7A+': 0, '7B': 2, '7B+': 2, '7C': 3, '7C+': 2, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
38,D6,"{'6B+': 1, '6C': 1, '6C+': 1, '7A': 1, '7A+': 0, '7B': 5, '7B+': 1, '7C': 5, '7C+': 2, '8A': 3, '8A+': 0, '8B': 0}",yellow,0,0,1
39,D7,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 0, '7B+': 0, '7C': 1, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
40,D8,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 1, '7A+': 1, '7B': 1, '7B+': 1, '7C': 0, '7C+': 5, '8A': 0, '8A+': 0, '8B': 0}",yellow,0,0,1
41,D9,"{'6B+': 5, '6C': 1, '6C+': 1, '7A': 2, '7A+': 4, '7B': 1, '7B+': 0, '7C': 1, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
42,D10,"{'6B+': 3, '6C': 2, '6C+': 1, '7A': 5, '7A+': 6, '7B': 5, '7B+': 1, '7C': 5, '7C+': 3, '8A': 1, '8A+': 1, '8B': 0}",yellow,0,0,1
43,D11,"{'6B+': 1, '6C': 2, '6C+': 2, '7A': 1, '7A+': 3, '7B': 0, '7B+': 0, '7C': 1, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
44,D12,"{'6B+': 6, '6C': 3, '6C+': 3, '7A': 1, '7A+': 1, '7B': 0, '7B+': 1, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
45,D13,"{'6B+': 0, '6C': 0, '6C+': 1, '7A': 3, '7A+': 1, '7B': 1, '7B+': 1, '7C': 0, '7C+': 3, '8A': 2, '8A+': 0, '8B': 0}",yellow,0,0,1
46,D14,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 1, '7A+': 0, '7B': 0, '7B+': 0, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
47,D15,"{'6B+': 6, '6C': 4, '6C+': 6, '7A': 8, '7A+': 5, '7B': 5, '7B+': 2, '7C': 2, '7C+': 1, '8A': 1, '8A+': 0, '8B': 0}",black,1,0,0
48,D16,"{'6B+': 0, '6C': 0, '6C+': 1, '7A': 2, '7A+': 6, '7B': 2, '7B+': 1, '7C': 2, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",yellow,0,0,1
49,D17,"{'6B+': 5, '6C': 3, '6C+': 6, '7A': 3, '7A+': 4, '7B': 1, '7B+': 0, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
50,D18,"{'6B+': 16, '6C': 14, '6C+': 9, '7A': 18, '7A+': 18, '7B': 7, '7B+': 4, '7C': 9, '7C+': 1, '8A': 1, '8A+': 0, '8B': 0}",black,1,0,0
51,E6,"{'6B+': 6, '6C': 7, '6C+': 6, '7A': 6, '7A+': 10, '7B': 4, '7B+': 1, '7C': 1, '7C+': 0, '8A': 2, '8A+': 0, '8B': 0}",black,1,0,0
52,E7,"{'6B+': 1, '6C': 4, '6C+': 2, '7A': 3, '7A+': 4, '7B': 5, '7B+': 0, '7C': 0, '7C+': 1, '8A': 1, '8A+': 0, '8B': 0}",white,0,1,0
53,E8,"{'6B+': 20, '6C': 14, '6C+': 6, '7A': 10, '7A+': 8, '7B': 2, '7B+': 1, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
54,E9,"{'6B+': 0, '6C': 0, '6C+': 1, '7A': 1, '7A+': 5, '7B': 3, '7B+': 3, '7C': 5, '7C+': 2, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
55,E10,"{'6B+': 7, '6C': 5, '6C+': 7, '7A': 5, '7A+': 3, '7B': 2, '7B+': 1, '7C': 2, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
56,E11,"{'6B+': 1, '6C': 3, '6C+': 2, '7A': 1, '7A+': 4, '7B': 1, '7B+': 0, '7C': 2, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
57,E12,"{'6B+': 10, '6C': 14, '6C+': 10, '7A': 8, '7A+': 5, '7B': 6, '7B+': 2, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
58,E13,"{'6B+': 17, '6C': 6, '6C+': 4, '7A': 8, '7A+': 5, '7B': 0, '7B+': 1, '7C': 0, '7C+': 2, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
59,E14,"{'6B+': 0, '6C': 6, '6C+': 5, '7A': 4, '7A+': 5, '7B': 2, '7B+': 2, '7C': 1, '7C+': 0, '8A': 0, '8A+': 0, '8B': 1}",black,1,0,0
60,E15,"{'6B+': 19, '6C': 12, '6C+': 6, '7A': 5, '7A+': 4, '7B': 2, '7B+': 0, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
61,E16,"{'6B+': 6, '6C': 5, '6C+': 3, '7A': 9, '7A+': 6, '7B': 1, '7B+': 1, '7C': 2, '7C+': 0, '8A': 1, '8A+': 0, '8B': 0}",black,1,0,0
62,E18,"{'6B+': 12, '6C': 13, '6C+': 12, '7A': 11, '7A+': 7, '7B': 6, '7B+': 4, '7C': 1, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
63,F5,"{'6B+': 36, '6C': 22, '6C+': 8, '7A': 7, '7A+': 11, '7B': 7, '7B+': 1, '7C': 1, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
64,F6,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 1, '7B+': 1, '7C': 2, '7C+': 1, '8A': 2, '8A+': 0, '8B': 0}",yellow,0,0,1
65,F7,"{'6B+': 1, '6C': 3, '6C+': 4, '7A': 3, '7A+': 3, '7B': 7, '7B+': 1, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
66,F8,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 0, '7B+': 0, '7C': 2, '7C+': 1, '8A': 3, '8A+': 0, '8B': 0}",yellow,0,0,1
67,F9,"{'6B+': 1, '6C': 1, '6C+': 3, '7A': 3, '7A+': 0, '7B': 1, '7B+': 2, '7C': 2, '7C+': 2, '8A': 1, '8A+': 0, '8B': 0}",yellow,0,0,1
68,F10,"{'6B+': 3, '6C': 3, '6C+': 5, '7A': 4, '7A+': 9, '7B': 2, '7B+': 1, '7C': 1, '7C+': 5, '8A': 1, '8A+': 0, '8B': 0}",white,0,1,0
